title,user ratings,genres,cast
Trolls Band Together,72.43,"['Animation', 'Family', 'Music', 'Fantasy', 'Comedy']","['Camila Cabello', 'Christopher Mintz-Plasse', 'Aino Jawo', 'Anderson .Paak', 'Lance Bass', 'Chris Kirkpatrick', 'Andrew Rannells', 'Dillon Francis', 'Kenan Thompson', 'Joey Fatone', 'Zosia Mamet', 'Ron Funches', 'Amy Schumer', 'Glozell Green', 'Kid Cudi', 'Troye Sivan', 'David Fynn', 'Caroline Hjelt', 'Anna Kendrick', 'Daveed Diggs', 'Walt Dohrn', 'Eric André', 'Kevin Michael Richardson', 'RuPaul', 'Zooey Deschanel', 'Kunal Nayyar', 'Justin Timberlake', 'Patti Harrison', 'JC Chasez']"
Oppenheimer,81.61,"['Drama', 'History']","['Tony Goldwyn', 'Gustaf Skarsgård', 'Clay Bunker', ""James D'Arcy"", 'Macon Blair', 'Josh Zuckerman', 'Michael Andrew Baker', 'Josh Peck', 'Sadie Stratton', 'Jeremy John Wells', 'Gary Oldman', 'Troy Bronson', 'Harry Groener', 'Tom Jenkins', 'Tyler Beardsley', 'Hap Lawrence', 'Brett DelBuono', 'Emma Dumont', 'Guy Burnet', 'Tom Conti', 'Emily Blunt', 'James Urbaniak', 'Jefferson Hall', 'Jack Cutmore-Scott', 'Alden Ehrenreich', 'Matt Damon', 'Kerry Westcott', 'Ronald Auguste', 'Alex Wolff', 'Tim DeKay', 'Máté Haumann', 'Louise Lombard', 'Steven Houska', 'Britt Kyle', 'Kenneth Branagh', 'Maria Teresa Zuppetta', 'Olli Haaskivi', 'Harrison Gilbertson', 'Benny Safdie', 'Kate French', 'Christopher Denham', 'Sean Avery', 'Drew Kenney', 'Michael Angarano', 'Jessica Erin Martin', 'David Rysdahl', 'Gregory Jbara', 'Scott Grimes', 'Olivia Thirlby', 'Devon Bostick', 'Matt Snead', 'Petrie Willink', 'Steve Coulter', 'Bryce Johnson', 'Christina Hogue', 'Cillian Murphy', 'Matthias Schweighöfer', 'David Dastmalchian', 'Josh Hartnett', 'John Gowans', 'Florence Pugh', 'Ted King', 'Casey Affleck', 'Trond Fausa Aurvåg', 'Will Roberts', 'Jack Quaid', 'Matthew Modine', 'Meg Schimelpfenig', 'Rami Malek', 'Dane DeHaan', 'Jeff Hephner', 'Danny Deferrari', 'Pat Skipper', 'Adam Kroeger', 'Robert Downey Jr.', 'Flora Nolan', 'Kurt Koehler', 'Rory Keane', 'James Remar', 'David Krumholtz', 'Jason Clarke', 'Dylan Arnold']"
The Creator,71.55,"['Science Fiction', 'Action', 'Thriller']","['Ron Weaver', 'Rad Pereira', 'Sturgill Simpson', 'John Garrett Mahlmeister', 'Sahatchai Chumrum', 'Ken Watanabe', 'Jeb Kreager', 'Chalee Sankhavesa', 'Natthaphong Chaiyawong', 'Niko Rusakov', 'Charlie McElveen', 'Mackenzie Lansing', 'Marc Menchaca', 'Amar Chadha-Patel', 'Dana Blouin', 'Pongsanart Vinsiri', 'James David Henry', 'Madeleine Yuna Voyles', 'Veronica Ngo', 'Kulsiri Thongrung', 'Teerawat Mulvilai', 'Art Ybarra', 'Agneta Catarina Békassy de Békas', 'Sawanee Utoomma', 'Leanna Chea', 'Stephen Howard Thomas', 'Mariam Khummaung', 'Karen Aldridge', 'Daniel Ray Rodriguez', 'John David Washington', 'Brett Bartholomew', 'Ian Verdun', 'Apiwantana Duenkhao', 'Pat Skelton', 'Chananticha Chaipa', 'Anjana Ghogar', ""Eoin O'Brien"", 'Molywon Phantarak', 'Gemma Chan', 'Brett Parks', 'Michael Esper', 'Syd Skidmore', 'Robbie Tann', 'Tawee Teesura', 'Monthatip Suksopha', 'Scott Thomas', 'Kandanai Chotikapracal', 'Elliot Berk', 'Mav Kang', 'Ralph Ineson', 'Phaithoon Wanglomklang', 'Allison Janney']"
Five Nights at Freddy's,78.82,"['Horror', 'Mystery']","['Kat Conner Sterling', 'Liam Hendrix', 'Wyatt Parker', 'Victoria Patenaude', 'Piper Rubio', 'Michael P. Sullivan', 'Christian Stokes', 'Garrett Hines', 'David Lind', 'Asher Colton Spence', 'Elizabeth Lail', 'Theodus Crane', 'Josh Hutcherson', 'Jophielle Love', 'Mary Stuart Masterson', 'Julia Belanova', 'Gralen Bryant Banks', 'Xander Mateo', 'Matthew Patrick', 'Matthew Lillard', 'Jessica Blackmore', 'Lucas Grant', 'Lisa Mackel Smith', 'Bailey Winston', 'Ryan Reinike', 'Cory Kenshin', 'Tadasay Young', 'David Huston Doty', 'Grant Feely', 'Joseph Poliquin']"
Jawan,71.53999999999999,"['Action', 'Adventure', 'Thriller']","['Mukesh Chhabra', 'Boxer Dheena', 'Yogi Babu', 'Sunil Grover', 'Ashwin Goshal', 'Priyansh Vatiani', 'Bharat Raj', 'Sangay Tsheltrim', 'Smita Tambe', 'Girija Oak', 'Deepika Padukone', 'Ridhi Dogra', 'Eijaz Khan', 'Seeza Saroj', 'Lehar Khan', 'Jaffer Sadiq', 'Sharad Vyas', 'Sanya Malhotra', 'Nayanthara', 'Sirisha Hanumanth', 'Shah Rukh Khan', 'Utsav Narula', 'Parth Siddhpura', 'Sukhi Garewal', 'Sanjay Dutt', 'Priyamani', 'Vijay Sethupathi', 'Vivek Raghuvanshi', 'Direndo Loitangbam', 'Abhishek Deswal', 'Sanjeeta Bhattacharya', 'Kenny Basumatary', 'Naresh Gosain', 'Ravindra Vijay', 'Ashlesha Thakur', 'Abiral Limboo', 'Viraj Ghelani', 'Omkar Das Manikpuri', 'Atlee', 'Aaliyah Qureishi']"
Expend4bles,64.34,"['Action', 'Adventure', 'Thriller']","['Martin Ghiaurov', 'Stefan Bahrun', 'Randy Couture', 'Andy García', 'Jason Statham', 'Igor Pečenjev', 'Stefan Ivanov', 'Sheila Shah', 'Tony Jaa', 'Dan Chupong', 'Alexander Hristozov', 'Dolph Lundgren', 'Cokey Falkow', 'Daren Nop', 'Kenny ""Cowboy"" Bartram', 'Mike Möller', 'Susanne Potrock', 'Assen Karanikolov', 'Jason Lines', 'Adam Masto', 'Levy Tran', 'David Nop', 'Megan Fox', 'Sylvester Stallone', 'Cody Mackie', 'Lucy Newman-Williams', 'Vladimir Mihailov', 'Iko Uwais', '50 Cent', 'Samuel Black', 'Nicole Andrews', 'Antoni Davidov', 'Karim Saidi', 'Tjaša Perko', 'Oat Jenner', 'Jacob Scipio', 'Caroline Wilde', 'Eddie Hall']"
Mission: Impossible - Dead Reckoning Part One,76.0,"['Action', 'Thriller']","['Alex Brock', 'Daniella Carraturo', 'Vanessa Kirby', 'Sam Barrett', 'Antonio Bustorff', 'Hersha Verity', 'Louis Vaughan', 'Damian Rozanek', 'Mariela Garriga', 'Marcin Dorociński', 'Ira Mandela Siobhan', 'Cary Elwes', 'Marc Wesley DeHaney', 'Ivan Ivashkin', 'Rob Delaney', 'Brian Law', 'Megan Westpfel', 'Jadran Malkovich', 'Rocky Taylor', 'Adrian Bouchet', 'Michael Kosterin', 'Kaye Dinauto', 'Katie Collins', 'Gloria Obianyo', 'Nikolaos Brahimllari', 'Nicolas Wang', 'Grace Jabbari', 'Lincoln Conway', 'John Akanmu', 'Marco Sincini', 'Rebecca Ferguson', 'Simon Pegg', 'Os Leanse', 'Joanna Dyce', 'Pom Klementieff', 'Indira Varma', 'Hayley Atwell', 'Henry Czerny', 'Tom Cruise', 'Melissa Anna Bartolini', 'Esai Morales', 'Lee Bridgman', 'Jessica Holland', 'Philip Hulford', 'Nicholas Tredrea', 'Dana Blacklake', 'Jean Kartal', 'Robert Luckay', 'Yennis Cheung', 'Taylor Goodridge', 'Ving Rhames', 'Sergej Lopouchanski', 'Barnaby Kay', 'Doroteya Toleva', 'Marco Lascari', 'Greg Tarzan Davis', 'Andrea Scarduzio', 'Ioachim Ciobanu', 'Luke Smith', 'Alex James-Phelps', 'Faycal Attougui', 'Frederick Schmidt', 'Simon Rizzoni', 'Charles Parnell', 'Christopher Sciueref', 'Matt Malecki', 'Evita Ciri', 'Mark Gatiss', 'Gaetano Bruno', 'Mikhail Safronov', 'Lucia Tong', 'Arevinth V Sarma', 'Laura Vortler', 'Marcello Walton', 'Zahari Baharov', 'Shea Whigham']"
Fast X,72.05,"['Action', 'Crime', 'Thriller']","['Joaquim de Almeida', 'Daniela Melchior', 'Brie Larson', 'Rita Moreno', 'Leo A. Perry', 'Miraj Grbić', 'Jason Statham', 'Michael Irby', 'Josh Dun', 'Debby Ryan', 'Jason Momoa', 'Jaz Hutchins', 'Shahir Figueira', 'Ali Baddou', 'Charlize Theron', 'Pete Davidson', 'Sung Kang', 'Meadow Walker Thornton-Allan', 'Dwayne Johnson', 'Emily Buchan', 'Ben-Hur Santos', 'Ludacris', 'Michelle Rodriguez', 'Alan Ritchson', 'Scott Eastwood', 'Luka Hays', 'Tyrese Gibson', 'Vin Diesel', 'Jordana Brewster', 'Alexander Capon', 'Nathalie Emmanuel', 'Shadrach Agozino', 'Helen Mirren', 'Paul Walker', 'John Cena', 'Gal Gadot', 'Luis Da Silva Jr.', 'Ludmilla']"
Napoleon,63.98,"['Drama', 'History', 'War']","['Matthew Needham', 'Vanessa Kirby', 'Ludivine Sagnier', 'Mark Bonnar', 'David Verrey', 'Ed Eales White', 'Ian McNeice', 'Riana Duce', 'Sinéad Cusack', 'Abubakar Salim', 'Thea Achillea', 'Miles Jupp', 'Sophie Lund', 'Cesare Taurasi', 'Ben Miles', 'Erin Ainsworth', 'Jannis Niewöhner', 'Julian Wadham', 'Edouard Philipponnat', 'Arthur McBain', 'Jacob Marshfield', 'Youssef Kerkour', 'Ed Hughes', 'Catherine Walker', 'Tahar Rahim', 'Rupert Everett', 'Cormac Hyde-Corrin', 'Paul Riddell', 'Edward Hogg', 'Joaquin Phoenix', 'Jonathan Barnwell', 'Tim Faulkner', 'Davide Tucci', 'Richard McCabe', 'Julian Rhind-Tutt', 'Anna Mawn', 'Gavin Spokes', 'Paul Rhys', 'Thom Ashley', 'Sam Troughton', 'Robert William Carlisle', 'Hannah Flynn', 'Kevin Eldon', 'Phil Cornwell', 'John Hollingworth']"
Leo,78.55000000000001,"['Animation', 'Comedy', 'Family']","['Cecily Strong', 'Blake Clark', 'Ryun Yu', 'Reese Lores', 'Nikki Castillo', 'Germar Terrell Gardner', 'Stephanie Hsu', 'Ava Acres', 'David Michie', 'Katie Hartman', 'Jason Griffith', 'Andrew Morgado', 'Kyra Wachtenheim', 'Kelly Stables', 'Coulter Ibanez', 'Sunny Sandler', 'Dan Reitz', 'John Farley', 'Roey Smigel', 'Nicholas Turturro', 'Jonathan Loughran', 'Ryan Bartley', 'Gloria Manning', 'Noah Robbins', 'Ethan Smigel', 'Rob Schneider', 'Corey J', 'Joel Marsh Garland', 'Frankie Figliozzi', 'Giselle Fernández', 'Ranjani Brow', 'Adam Sandler', 'Chris Titone', 'Jonny Solomon', 'Ashley Lambert', 'Christian Capozzoli', 'Nora Wyman', 'Robert Marianetti', 'Heidi Gardner', 'Sonya Leslie', 'Chris Kattan', 'Andre Robinson', ""Jaquita Ta'le"", 'Mary Deaton', 'Tiffany Topol', 'Sadie Sandler', 'Alex Quijano', 'Doug Dale', 'Scott Menville', 'Allison Strong', 'TienYa Safko', 'Paul Brittain', 'Robert Smigel', 'Aliza Pelavin', 'Jo Koy', 'Terence Mathews', 'Warren Sroka', 'Sheila Carrasco', 'Aldan Liam Philipson', 'Bill Burr', 'Lileina Joy', 'Rose Abdoo', 'Chase Fein', 'Janie Haddad Tompkins', 'Bryant Tardy', 'Nick Swardson', 'Sunita Param', 'Jackie Sandler', 'Rebecca Vigil', 'Benjamin Bottani', 'Elijah Kim', 'David Wachtenheim', 'Jason Alexander', 'Carson Minniear', 'Shelby Young']"
