title,user ratings,genres,cast
Trolls Band Together,72.0,"['Animation', 'Family', 'Music', 'Fantasy', 'Comedy']","['Walt Dohrn', 'Dillon Francis', 'Kunal Nayyar', 'Christopher Mintz-Plasse', 'Troye Sivan', 'Ron Funches', 'Andrew Rannells', 'Kid Cudi', 'Amy Schumer', 'David Fynn', 'Zosia Mamet', 'Zooey Deschanel', 'Kevin Michael Richardson', 'Anna Kendrick', 'Justin Timberlake', 'Joey Fatone', 'Glozell Green', 'Kenan Thompson', 'Eric André', 'Chris Kirkpatrick', 'RuPaul', 'Caroline Hjelt', 'Patti Harrison', 'JC Chasez', 'Anderson .Paak', 'Lance Bass', 'Camila Cabello', 'Daveed Diggs', 'Aino Jawo']"
Oppenheimer,81.61,"['Drama', 'History']","['Rami Malek', 'Troy Bronson', 'Kenneth Branagh', 'Gary Oldman', 'Kerry Westcott', 'Jason Clarke', 'Dylan Arnold', 'Josh Peck', 'Máté Haumann', 'Josh Zuckerman', 'Emily Blunt', 'Adam Kroeger', 'Olivia Thirlby', 'Harry Groener', 'Tyler Beardsley', 'Danny Deferrari', 'Gustaf Skarsgård', 'Josh Hartnett', 'Meg Schimelpfenig', 'Olli Haaskivi', 'Jessica Erin Martin', 'Matthias Schweighöfer', 'Maria Teresa Zuppetta', 'Sean Avery', 'Alex Wolff', 'Christopher Denham', 'Sadie Stratton', 'James Remar', 'Tony Goldwyn', 'Florence Pugh', 'Flora Nolan', 'Pat Skipper', 'Tom Jenkins', 'Tim DeKay', 'Benny Safdie', 'Alden Ehrenreich', 'Jack Cutmore-Scott', 'Macon Blair', 'David Dastmalchian', 'Hap Lawrence', 'Rory Keane', 'Scott Grimes', 'Matt Damon', 'Bryce Johnson', 'Jack Quaid', 'Christina Hogue', 'Louise Lombard', 'Will Roberts', 'Michael Angarano', 'Petrie Willink', 'Cillian Murphy', 'Matthew Modine', 'Brett DelBuono', 'Ted King', 'John Gowans', 'David Rysdahl', 'Robert Downey Jr.', ""James D'Arcy"", 'Trond Fausa Aurvåg', 'Kurt Koehler', 'Tom Conti', 'Jeff Hephner', 'Devon Bostick', 'Harrison Gilbertson', 'Michael Andrew Baker', 'Matt Snead', 'David Krumholtz', 'Dane DeHaan', 'Casey Affleck', 'Guy Burnet', 'Drew Kenney', 'James Urbaniak', 'Steve Coulter', 'Ronald Auguste', 'Emma Dumont', 'Steven Houska', 'Clay Bunker', 'Jeremy John Wells', 'Britt Kyle', 'Jefferson Hall', 'Gregory Jbara', 'Kate French']"
The Creator,71.57,"['Science Fiction', 'Action', 'Thriller']","['Natthaphong Chaiyawong', 'Daniel Ray Rodriguez', 'Chananticha Chaipa', 'Art Ybarra', 'Scott Thomas', 'Brett Bartholomew', 'Kandanai Chotikapracal', 'Ian Verdun', 'Ralph Ineson', 'Syd Skidmore', 'Teerawat Mulvilai', 'Sawanee Utoomma', 'John Garrett Mahlmeister', 'Sturgill Simpson', 'Monthatip Suksopha', 'Leanna Chea', 'Anjana Ghogar', 'Stephen Howard Thomas', 'Elliot Berk', 'Ron Weaver', 'Madeleine Yuna Voyles', 'Gemma Chan', 'Sahatchai Chumrum', 'Allison Janney', 'Jeb Kreager', 'John David Washington', 'Niko Rusakov', 'Ken Watanabe', 'Mackenzie Lansing', 'Phaithoon Wanglomklang', ""Eoin O'Brien"", 'Karen Aldridge', 'Brett Parks', 'Dana Blouin', 'Chalee Sankhavesa', 'Marc Menchaca', 'Apiwantana Duenkhao', 'Michael Esper', 'Pongsanart Vinsiri', 'Mariam Khummaung', 'James David Henry', 'Veronica Ngo', 'Amar Chadha-Patel', 'Rad Pereira', 'Mav Kang', 'Pat Skelton', 'Robbie Tann', 'Agneta Catarina Békassy de Békas', 'Charlie McElveen', 'Molywon Phantarak', 'Tawee Teesura', 'Kulsiri Thongrung']"
Five Nights at Freddy's,78.82,"['Horror', 'Mystery']","['Kat Conner Sterling', 'Mary Stuart Masterson', 'Michael P. Sullivan', 'Christian Stokes', 'David Lind', 'Asher Colton Spence', 'Gralen Bryant Banks', 'Lisa Mackel Smith', 'Cory Kenshin', 'Wyatt Parker', 'Piper Rubio', 'Jophielle Love', 'Garrett Hines', 'Victoria Patenaude', 'Tadasay Young', 'Xander Mateo', 'Ryan Reinike', 'Matthew Lillard', 'Grant Feely', 'Bailey Winston', 'Josh Hutcherson', 'David Huston Doty', 'Liam Hendrix', 'Julia Belanova', 'Matthew Patrick', 'Theodus Crane', 'Elizabeth Lail', 'Lucas Grant', 'Jessica Blackmore', 'Joseph Poliquin']"
Jawan,71.53999999999999,"['Action', 'Adventure', 'Thriller']","['Direndo Loitangbam', 'Atlee', 'Seeza Saroj', 'Girija Oak', 'Yogi Babu', 'Smita Tambe', 'Deepika Padukone', 'Bharat Raj', 'Sukhi Garewal', 'Ashlesha Thakur', 'Sanjeeta Bhattacharya', 'Eijaz Khan', 'Abiral Limboo', 'Aaliyah Qureishi', 'Boxer Dheena', 'Sharad Vyas', 'Sanya Malhotra', 'Nayanthara', 'Sangay Tsheltrim', 'Sanjay Dutt', 'Ashwin Goshal', 'Shah Rukh Khan', 'Ravindra Vijay', 'Omkar Das Manikpuri', 'Mukesh Chhabra', 'Abhishek Deswal', 'Priyamani', 'Lehar Khan', 'Jaffer Sadiq', 'Sirisha Hanumanth', 'Ridhi Dogra', 'Vijay Sethupathi', 'Utsav Narula', 'Parth Siddhpura', 'Kenny Basumatary', 'Sunil Grover', 'Priyansh Vatiani', 'Vivek Raghuvanshi', 'Viraj Ghelani', 'Naresh Gosain']"
Expend4bles,64.34,"['Action', 'Adventure', 'Thriller']","['Alexander Hristozov', 'Stefan Ivanov', 'Dan Chupong', 'Daren Nop', 'Tony Jaa', 'Mike Möller', 'Eddie Hall', 'Kenny ""Cowboy"" Bartram', 'Levy Tran', 'Adam Masto', 'Tjaša Perko', 'Jason Statham', 'Megan Fox', 'Nicole Andrews', '50 Cent', 'David Nop', 'Antoni Davidov', 'Andy García', 'Oat Jenner', 'Cody Mackie', 'Igor Pečenjev', 'Stefan Bahrun', 'Dolph Lundgren', 'Vladimir Mihailov', 'Sylvester Stallone', 'Iko Uwais', 'Karim Saidi', 'Jason Lines', 'Assen Karanikolov', 'Jacob Scipio', 'Martin Ghiaurov', 'Cokey Falkow', 'Samuel Black', 'Caroline Wilde', 'Susanne Potrock', 'Randy Couture', 'Sheila Shah', 'Lucy Newman-Williams']"
Mission: Impossible - Dead Reckoning Part One,76.0,"['Action', 'Thriller']","['Hersha Verity', 'Mariela Garriga', 'Lee Bridgman', 'Indira Varma', 'Charles Parnell', 'Alex Brock', 'Jean Kartal', 'Marco Sincini', 'Esai Morales', 'Mark Gatiss', 'Evita Ciri', 'Louis Vaughan', 'Marc Wesley DeHaney', 'Henry Czerny', 'Adrian Bouchet', 'Kaye Dinauto', 'Grace Jabbari', 'Matt Malecki', 'Damian Rozanek', 'Simon Pegg', 'Andrea Scarduzio', 'Michael Kosterin', 'Yennis Cheung', 'Vanessa Kirby', 'Robert Luckay', 'Barnaby Kay', 'Lucia Tong', 'Brian Law', 'Sam Barrett', 'Alex James-Phelps', 'Hayley Atwell', 'Cary Elwes', 'Marcello Walton', 'Zahari Baharov', 'Dana Blacklake', 'Jessica Holland', 'Ioachim Ciobanu', 'Daniella Carraturo', 'Gaetano Bruno', 'Joanna Dyce', 'Rocky Taylor', 'Rob Delaney', 'Katie Collins', 'Philip Hulford', 'Ivan Ivashkin', 'Laura Vortler', 'John Akanmu', 'Marco Lascari', 'Os Leanse', 'Nikolaos Brahimllari', 'Faycal Attougui', 'Melissa Anna Bartolini', 'Gloria Obianyo', 'Nicholas Tredrea', 'Pom Klementieff', 'Ving Rhames', 'Arevinth V Sarma', 'Megan Westpfel', 'Shea Whigham', 'Christopher Sciueref', 'Lincoln Conway', 'Ira Mandela Siobhan', 'Rebecca Ferguson', 'Marcin Dorociński', 'Simon Rizzoni', 'Tom Cruise', 'Jadran Malkovich', 'Greg Tarzan Davis', 'Doroteya Toleva', 'Nicolas Wang', 'Taylor Goodridge', 'Antonio Bustorff', 'Sergej Lopouchanski', 'Luke Smith', 'Mikhail Safronov', 'Frederick Schmidt']"
Fast X,72.06,"['Action', 'Crime', 'Thriller']","['Joaquim de Almeida', 'Sung Kang', 'Ben-Hur Santos', 'Jason Statham', 'Leo A. Perry', 'Miraj Grbić', 'Vin Diesel', 'Jaz Hutchins', 'Luis Da Silva Jr.', 'Michelle Rodriguez', 'Brie Larson', 'Shahir Figueira', 'Gal Gadot', 'Meadow Walker Thornton-Allan', 'Helen Mirren', 'Jordana Brewster', 'Alan Ritchson', 'Ali Baddou', 'Rita Moreno', 'Shadrach Agozino', 'Scott Eastwood', 'Debby Ryan', 'Daniela Melchior', 'Ludmilla', 'Michael Irby', 'Nathalie Emmanuel', 'Paul Walker', 'Josh Dun', 'Jason Momoa', 'Dwayne Johnson', 'Tyrese Gibson', 'Luka Hays', 'Pete Davidson', 'John Cena', 'Emily Buchan', 'Ludacris', 'Alexander Capon', 'Charlize Theron']"
Napoleon,63.89,"['Drama', 'History', 'War']","['Tahar Rahim', 'Julian Wadham', 'John Hollingworth', 'Richard McCabe', 'Rupert Everett', 'Tim Faulkner', 'Kevin Eldon', 'Arthur McBain', 'Edward Hogg', 'Matthew Needham', 'Erin Ainsworth', 'Vanessa Kirby', 'Edouard Philipponnat', 'Julian Rhind-Tutt', 'Paul Riddell', 'Youssef Kerkour', 'Paul Rhys', 'Ben Miles', 'Ed Eales White', 'Thea Achillea', 'Abubakar Salim', 'Thom Ashley', 'Anna Mawn', 'Cormac Hyde-Corrin', 'Phil Cornwell', 'Catherine Walker', 'David Verrey', 'Jacob Marshfield', 'Mark Bonnar', 'Hannah Flynn', 'Jannis Niewöhner', 'Sophie Lund', 'Ian McNeice', 'Miles Jupp', 'Ed Hughes', 'Sam Troughton', 'Ludivine Sagnier', 'Jonathan Barnwell', 'Riana Duce', 'Robert William Carlisle', 'Joaquin Phoenix', 'Davide Tucci', 'Gavin Spokes', 'Cesare Taurasi', 'Sinéad Cusack']"
Leo,79.0,"['Animation', 'Comedy', 'Family']","['Lileina Joy', 'Jason Griffith', 'Rebecca Vigil', 'Ava Acres', 'Jackie Sandler', 'Allison Strong', 'Ashley Lambert', 'Joel Marsh Garland', 'Giselle Fernández', 'Sonya Leslie', 'Katie Hartman', 'Jo Koy', 'Sunny Sandler', 'Germar Terrell Gardner', 'Nicholas Turturro', 'Kyra Wachtenheim', 'Chase Fein', 'David Michie', 'Dan Reitz', 'Sunita Param', 'Robert Smigel', 'Chris Kattan', ""Jaquita Ta'le"", 'Rose Abdoo', 'Aldan Liam Philipson', 'Benjamin Bottani', 'Warren Sroka', 'Shelby Young', 'Ryan Bartley', 'Janie Haddad Tompkins', 'Sadie Sandler', 'Scott Menville', 'Christian Capozzoli', 'Kelly Stables', 'Nora Wyman', 'Gloria Manning', 'Jason Alexander', 'Corey J', 'Carson Minniear', 'Ethan Smigel', 'Coulter Ibanez', 'Cecily Strong', 'Rob Schneider', 'Heidi Gardner', 'Chris Titone', 'Frankie Figliozzi', 'John Farley', 'Stephanie Hsu', 'Doug Dale', 'Bill Burr', 'Adam Sandler', 'Elijah Kim', 'Robert Marianetti', 'Alex Quijano', 'Paul Brittain', 'Blake Clark', 'Ryun Yu', 'Tiffany Topol', 'Roey Smigel', 'Nikki Castillo', 'David Wachtenheim', 'Jonathan Loughran', 'Jonny Solomon', 'Reese Lores', 'Terence Mathews', 'Andrew Morgado', 'Andre Robinson', 'Nick Swardson', 'Sheila Carrasco', 'Ranjani Brow', 'Aliza Pelavin', 'Mary Deaton', 'Bryant Tardy', 'TienYa Safko', 'Noah Robbins']"
