title,user ratings,genres,cast
The Hunger Games: Mockingjay - Part 1,68.03,"['Science Fiction', 'Adventure', 'Thriller']","['Natalie Dormer', 'Elden Henson', 'Paula Malcomson', 'Stanley Tucci', 'Katie Sawhill', 'Donna Biscoe', 'Ryan DeLaney', 'Tyler Lee Allen', 'Philip Seymour Hoffman', 'Nicholas Pryor', 'Charles Kronmuller', 'Emma Elle Roberts', 'Woody Harrelson', 'Julianne Moore', 'Sam Claflin', 'Stef Dawson', 'Molly Evensen', 'Caitlin Fowler', 'Jeffrey Wright', 'Jordan Woods-Robinson', 'Elizabeth Banks', 'Erika Bierman', 'Joe Crosson', 'Liam Hemsworth', 'Breann Couch', 'William Frasca', 'Jennifer Cocker', 'Charles White Jr.', 'Jennifer Lawrence', 'Evan Ross', 'Angel Giuffria', 'Josh Hutcherson', 'Jenique Bennett', 'Michael Garza', 'Jasmine Ahnie', 'Wes Chatham', 'Rus Blackwell', 'Robert Knepper', 'Stevie Ray Dallimore', 'Gregory Fears', 'Jada Taylor', 'Marshall Choka', 'Donald Sutherland', 'Brayden Patterson', 'Mahershala Ali', 'Jena Malone', 'Patina Miller', 'Willow Shields', 'Sarita Choudhury', 'Jackson Mizell']"
Babylon A.D.,56.0,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","['David Gasman', 'Charlotte Rampling', 'Souleymane Dicko', 'Lambert Wilson', 'Radek Brůna', 'Jan Unger', 'Abraham Belaga', 'Lemmy Constantine', 'Michelle Yeoh', 'Jérôme Le Banner', 'Vin Diesel', 'Gary Cowan', 'Gérard Depardieu', 'Joel Kirby', 'Curtis Matthew', 'Mélanie Thierry', 'Mark Strong', 'Pete Thias', 'David Belle']"
Muzzle,66.63,"['Action', 'Crime', 'Drama', 'Thriller']","['Penelope Mitchell', 'David Pittinger', 'Aaron Eckhart', 'Grainger Hines', 'Nick Searcy', 'Danielle Munday', 'Nicole Cornelius', 'Joseph Sanchez', 'Victor Keye', 'Leslie Black', 'Leon Walker', 'Luis Chávez', 'George Avgoustis', 'Stephen Lang', 'Gonzalo Robles', 'Diego Tinoco', 'Delissa Reynolds']"
Puss in Boots: The Last Wish,82.60999999999999,"['Adventure', 'Fantasy', 'Animation', 'Comedy', 'Family', 'Action']","['Betsy Sodaro', 'Paul Fisher', 'Anthony Mendez', 'James Ryan', 'Artemis Pebdani', 'Antonio Banderas', 'Al Rodrigo', 'Florence Pugh', 'Pilar Uribe', 'Kailey Crawford', 'Natalia Cronembold', 'Wagner Moura', 'Heidi Gardner', 'Ray Winstone', 'Salma Hayek Pinault', 'John Mulaney', 'Harvey Guillén', 'Aydrea Walden', 'Conrad Vernon', 'Januel Mercado', 'Olivia Colman', 'Bernardo de Paula', 'Joel Crawford', 'Samson Kayo', 'Miguel Matrai', 'Kevin McCann', ""Da'Vine Joy Randolph"", 'Cody Cameron', 'Bob Persichetti']"
My Fault,81.0,"['Drama', 'Romance']","['Marta Hazas', 'Jonatan Ruiz', 'Eve Ryan', 'Pablo Riguero', 'Rocío Peláez', 'Jaime Ordóñez', 'Eva Ruiz', 'Gabriel Guevara', 'Víctor Varona', 'Nicole Wallace', 'Alvaro Navarro', 'Anastasia Russo', 'Mariano Andres', 'Iván Sánchez', 'Lucas Nabor', 'Jaime Gutiérrez', 'Fran Berenguer', 'Daniel Martínez', 'Paloma Catalán', 'Mónica Caballero', 'Iván Massagué', 'Adriana Ubani', 'Mariano Venancio', 'Noah Casas', 'Jon Rod', 'Antonio Hernandez Fimia']"
Teenage Mutant Ninja Turtles: Mutant Mayhem,73.12,"['Animation', 'Comedy', 'Action', 'Science Fiction']","['Myra Owyang', 'Kevin Eastman', 'Mike Rianda', 'Natalie Canizares', 'Rose Byrne', 'Paul Rudd', 'Jimmy Donaldson', 'Michael Badalucco', 'Greg Levitan', 'David Faustino', 'Natasia Demetriou', 'Seth Rogen', 'Bobby Wagner', 'Kyler Spears', 'Jeff Rowe', 'Alex Hirsch', 'Micah Abbey', 'Lukas Williams', 'Maya Rudolph', 'Giancarlo Esposito', 'Derek Wilson', 'Shamon Brown Jr.', 'Noel Gibson', 'Nicolas Cantu', 'Post Malone', 'Ice Cube', 'Illya Quinteros', 'Raechel Wong', 'Andia Winslow', 'Dempsey Pappion', 'Brady Noon', 'John Capodice', 'Ayo Edebiri', 'Jackie Chan', 'Hannibal Buress', 'Danny Mastrogiorgio', 'John Cena']"
Avengers: Infinity War,82.53,"['Adventure', 'Action', 'Science Fiction']","['Monique Ganderton', 'Precious Jenkins', 'Kerry Condon', 'Gary Peebles', 'Ethan Dizon', 'Anthony Mackie', 'Terry Notary', 'Benedict Cumberbatch', 'Idris Elba', 'Chris Pratt', 'Aaron Lazar', 'Chadwick Boseman', 'Isabella Amara', 'Blair Jasin', 'Laura Miller', 'Tom Holland', 'Danai Gurira', 'Benicio del Toro', 'Tiffany Espensen', 'Scarlett Johansson', 'Kenneth Branagh', 'Sean Gunn', 'Vin Diesel', 'Don Cheadle', 'Ross Marquand', 'Bradley Cooper', 'Olaniyan Thurmon', 'Cobie Smulders', 'Marija Abney', 'Ariana Greenblatt', 'Carrie Coon', 'Robert Pralgo', 'Samuel L. Jackson', 'Bobby James', 'Dave Bautista', 'Robert Downey Jr.', 'Mark Ruffalo', 'Karen Gillan', 'Tom Vaughan-Lawlor', 'Michael Anthony Rogers', 'Zola Williams', 'Peter Dinklage', 'Winston Duke', 'Elizabeth Olsen', 'Tom Hiddleston', 'Gwyneth Paltrow', 'Zoe Saldaña', 'Pom Klementieff', 'Letitia Wright', 'Stan Lee', 'Chris Evans', 'Matthew Zuk', 'Chris Hemsworth', 'Marie Mouroum', 'Paul Bettany', 'Benedict Wong', 'Josh Brolin', 'Florence Kasumba', 'Ameenah Kaplan', 'Stephen McFeely', 'Harrison Osterfield', 'William Hurt', 'James Siderits', 'Jacob Batalon', 'Michael James Shaw', 'Sebastian Stan']"
Mavka: The Forest Song,72.85,"['Animation', 'Adventure', 'Family', 'Fantasy']","['Khrystyna Soloviy', 'Nataliia Sumska', 'Oleh Skrypka', 'Andrii Mostrenko', 'Mykhailo Khoma', 'Serhii Prytula', 'Kateryna Kukhar', 'Julia Sanina', 'Kateryna Osadcha', 'DakhaBrakha', 'Olena Kravets', 'Nina Matviienko', 'Artem Pyvovarov', 'Nazar Zadniprovskyi', 'Nataliia Denysenko', 'Oleh Mykhailiuta']"
The Locksmith,58.66,"['Mystery', 'Thriller', 'Action', 'Crime', 'Drama']","['Gabriela Quezada Bloomgarden', 'Charlie Weber', 'Bourke Floyd', 'Tom Wright', 'Jeffrey Nordling', 'Kaylee Bryant', 'Ryan Phillippe', 'Emily Rose David', 'Noel Gugliemi', 'Madeleine Guilbot', 'Livia Treviño', 'Ving Rhames', 'Kate Bosworth']"
Megalomaniac,62.0,"['Horror', 'Mystery', 'Thriller']","['Catherine Jandrain', 'Quentin Lasbazeilles', 'Olivier Picard', 'Eline Schumacher', 'Benjamin Ramon', 'Raphaëlle Lubansu', 'Wim Willaert', 'Pierre Nisse']"
